caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,landmark,protected,multipledec,majority,dissent,novote,lat,long
1918-168,1918-168-01,1918-168-01-01,1918-168-01-01-01,3/3/1919,1.0,249 U.S. 47,1918,905,White,437,SCHENCK v. UNITED STATES,1/9/1919,,126.0,,27.0,,13.0,,,0.0,109.0,,109.0,,0.0,1.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30060.0,3.0,1.0,0.0,4.0,,3.0,346.0,,59.0,56.0,1,9,0,Yes,No,No,"[95, 58, 59, 60, 64, 66, 67, 68, 69]",,,39.951529,-75.15111800000001
1919-014,1919-014-01,1919-014-01-01,1919-014-01-01-01,11/10/1919,1.0,250 U.S. 616,1919,905,White,316,ABRAMS et al. v. UNITED STATES,10/21/1919,,142.0,,27.0,,13.0,,,0.0,96.0,,96.0,,0.0,1.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30060.0,3.0,1.0,0.0,3.0,,9.0,900.0,,69.0,56.0,1,7,2,Yes,No,No,"[56, 58, 60, 64, 66, 67, 69]","[59, 68]",,40.713663000000004,-74.00086999999999
1924-169,1924-169-01,1924-169-01-01,1924-169-01-01-01,6/8/1925,1.0,268 U.S. 652,1924,1005,Taft,19,GITLOW v. PEOPLE OF NEW YORK,4/12/1923,11/23/1923,126.0,,28.0,37.0,13.0,,,0.0,302.0,37.0,300.0,37.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,1.0,0.0,2.0,,2.0,200.0,,73.0,70.0,1,7,2,Yes,No,Yes,,,,42.649638,-73.750235
1930-059,1930-059-01,1930-059-01-01,1930-059-01-01-01,5/18/1931,1.0,283 U.S. 359,1930,1102,Hughes,584,STROMBERG v. CALIFORNIA,4/15/1931,,126.0,,28.0,6.0,2.0,,,0.0,302.0,6.0,300.0,6.0,0.0,1.0,9.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,75.0,75.0,1,7,2,Yes,No,No,"[75, 59, 64, 68, 71, 74, 76]","[67, 72]",,37.781946999999995,-122.418145
1936-115,1936-115-01,1936-115-01-01,1936-115-01-01-01,4/26/1937,1.0,301 U.S. 242,1936,1103,Hughes,474,"HERNDON v. LOWRY, SHERIFF",2/8/1937,,215.0,,8.0,13.0,2.0,117.0,13.0,0.0,302.0,13.0,300.0,13.0,0.0,1.0,6.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,30060.0,3.0,2.0,0.0,3.0,,9.0,900.0,,76.0,75.0,1,5,4,Yes,Yes,No,"[76, 63, 68, 74, 77]","[64, 67, 71, 72]",,32.8372,-83.62544799999999
1939-012,1939-012-01,1939-012-01-01,1939-012-01-01-01,11/22/1939,1.0,308 U.S. 147,1939,1107,Hughes,11,SCHNEIDER v. STATE (TOWN OF IRVINGTON),10/13/1939,,126.0,,3.0,35.0,1.0,,,0.0,302.0,35.0,300.0,35.0,0.0,10.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,76.0,75.0,1,7,1,Yes,No,No,"[76, 75, 72, 74, 78, 79, 80, 81, 67]",,,40.72959,-74.17282900000001
1939-082,1939-082-01,1939-082-01-01,1939-082-01-01-01,4/22/1940,1.0,310 U.S. 88,1939,1108,Hughes,514,THORNHILL v. ALABAMA,2/29/1940,,126.0,,28.0,1.0,1.0,117.0,1.0,0.0,302.0,1.0,301.0,1.0,0.0,10.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,8.0,800.0,,82.0,75.0,1,8,1,Yes,No,No,"[82, 75, 74, 76, 78, 79, 80, 81]",[67],,32.375105,-86.30960999999999
1940-152,1940-152-01,1940-152-01-01,1940-152-01-01-01,3/31/1941,1.0,312 U.S. 569,1940,1108,Hughes,502,COX et al. v. NEW HAMPSHIRE,3/7/1941,,130.0,,28.0,34.0,2.0,,,0.0,302.0,34.0,300.0,34.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,1.0,0.0,2.0,4.0,8.0,800.0,,75.0,75.0,1,8,0,Yes,No,No,"[75, 74, 76, 78, 79, 80, 81, 82]",,,43.201826000000004,-71.539846
1941-137,1941-137-01,1941-137-01-01,1941-137-01-01-01,4/13/1942,1.0,316 U.S. 52,1941,1202,Stone,707,"VALENTINE, POLICE COMMISSIONER OF THE CITY OF NEW YORK, v. CHRESTENSEN",3/31/1942,,19.0,37.0,218.0,,1.0,117.0,37.0,0.0,96.0,,22.0,,0.0,12.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,30020.0,3.0,1.0,0.0,2.0,,2.0,200.0,,76.0,74.0,1,9,0,Yes,No,No,"[74, 111, 78, 79, 80, 81, 82, 83, 55]",,,40.713663000000004,-74.00086999999999
1947-098,1947-098-01,1947-098-01-01,1947-098-01-01-01,6/7/1948,1.0,334 U.S. 558,1947,1301,Vinson,504,SAIA v. NEW YORK,3/30/1948,,130.0,,28.0,37.0,2.0,,,0.0,302.0,37.0,300.0,37.0,0.0,1.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,81.0,87.0,1,5,4,Yes,Yes,No,"[81, 87, 78, 82, 85]","[80, 79, 86, 84]",,42.649638,-73.750235
1948-074,1948-074-01,1948-074-01-01,1948-074-01-01-01,5/16/1949,1.0,337 U.S. 1,1948,1301,Vinson,272,TERMINIELLO v. CHICAGO,2/1/1949,,218.0,,3.0,17.0,1.0,,,0.0,302.0,17.0,300.0,17.0,0.0,10.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,81.0,87.0,1,5,4,Yes,Yes,No,"[81, 78, 79, 82, 85]","[87, 80, 84, 86]",,41.878703,-87.62893199999999
1950-026,1950-026-01,1950-026-01-01,1950-026-01-01-01,1/15/1951,1.0,340 U.S. 315,1950,1303,Vinson,93,FEINER v. NEW YORK,10/17/1950,,223.0,,28.0,37.0,1.0,,,0.0,302.0,37.0,300.0,37.0,0.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,1.0,0.0,2.0,,2.0,200.0,,87.0,87.0,1,6,3,Yes,No,No,"[87, 80, 79, 55, 86, 88]","[78, 81, 89]",,42.649638,-73.750235
1950-089,1950-089-01,1950-089-01-01,1950-089-01-01-01,6/4/1951,7.0,341 U.S. 494,1950,1303,Vinson,336,DENNIS ET AL. v. UNITED STATES,12/4/1950,,100.0,,27.0,,1.0,,,0.0,96.0,37.0,22.0,,0.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30060.0,3.0,1.0,0.0,1.0,,2.0,207.0,,87.0,87.0,1,6,2,Yes,No,Yes,"[87, 79, 86, 89, 80, 84]","[78, 81]",[88],40.713663000000004,-74.00086999999999
1951-071,1951-071-01,1951-071-01-01,1951-071-01-01-01,4/28/1952,1.0,343 U.S. 250,1951,1303,Vinson,118,BEAUHARNAIS v. ILLINOIS,11/28/1951,,218.0,,28.0,17.0,1.0,,,0.0,302.0,17.0,300.0,17.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30030.0,3.0,1.0,0.0,2.0,,2.0,200.0,,80.0,87.0,1,5,4,Yes,No,No,"[80, 87, 86, 88, 89]","[78, 79, 81, 84]",,41.878703,-87.62893199999999
1956-108,1956-108-01,1956-108-01-01,1956-108-01-01-01,6/17/1957,1.0,354 U.S. 178,1956,1405,Warren,261,WATKINS v. UNITED STATES,3/7/1957,,254.0,,27.0,,1.0,,,0.0,55.0,,32.0,,1.0,10.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,30050.0,3.0,2.0,0.0,1.0,,2.0,207.0,,90.0,90.0,1,6,1,Yes,Yes,No,"[90, 78, 80, 81, 45, 92]",[88],"[86, 93]",38.892894,-77.016234
1956-129,1956-129-01,1956-129-01-01,1956-129-01-01-01,6/24/1957,1.0,354 U.S. 476,1956,1405,Warren,582,ROTH v. UNITED STATES,4/22/1957,,117.0,,27.0,,1.0,,,0.0,96.0,,22.0,,0.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30200.0,3.0,1.0,0.0,1.0,,6.0,600.0,18 U.S.C. § 1461,92.0,90.0,1,6,3,Yes,No,Yes,,,,40.713663000000004,-74.00086999999999
1957-146,1957-146-01,1957-146-01-01,1957-146-01-01-01,6/30/1958,1.0,357 U.S. 449,1957,1405,Warren,91,"NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE v. ALABAMA ex rel. PATTERSON, ATTORNEY GENERAL",1/15/1958,,223.0,,19.0,1.0,1.0,,,0.0,302.0,1.0,300.0,1.0,0.0,10.0,9.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,201.0,,91.0,90.0,1,9,0,Yes,Yes,No,"[91, 90, 78, 81, 88, 92, 94, 95, 96]",,,32.375105,-86.30960999999999
1960-111,1960-111-01,1960-111-01-01,1960-111-01-01-01,6/5/1961,1.0,367 U.S. 1,1960,1406,Warren,12,COMMUNIST PARTY OF THE UNITED STATES v. SUBVERSIVE ACTIVITIES CONTROL BOARD,10/11/1960,,211.0,,403.0,,1.0,103.0,,0.0,32.0,,32.0,,1.0,10.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30060.0,3.0,1.0,0.0,1.0,,3.0,369.0,,80.0,80.0,1,5,4,Yes,No,No,"[80, 88, 91, 93, 94]","[90, 78, 81, 92]",,38.892894,-77.016234
1962-032,1962-032-01,1962-032-01-01,1962-032-01-01-01,1/14/1963,1.0,371 U.S. 415,1962,1408,Warren,5,"NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE v. BUTTON, ATTORNEY GENERAL OF VIRGINIA, et al.",11/8/1961,10/9/1962,223.0,,19.0,55.0,1.0,,,0.0,302.0,55.0,300.0,55.0,0.0,12.0,2.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,92.0,90.0,1,6,3,Yes,Yes,No,"[92, 90, 78, 81, 96, 95]","[91, 88, 94]",,37.268627,-79.944337
1962-052,1962-052-01,1962-052-01-01,1962-052-01-01-01,2/25/1963,1.0,372 U.S. 229,1962,1408,Warren,86,EDWARDS et al. v. SOUTH CAROLINA,12/13/1962,,223.0,,28.0,48.0,1.0,,,0.0,302.0,48.0,300.0,48.0,0.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,30150.0,3.0,2.0,0.0,2.0,,2.0,200.0,,94.0,90.0,1,8,1,Yes,Yes,No,"[90, 78, 81, 45, 92, 94, 95, 96]",[88],,34.010011999999996,-81.04217
1963-158,1963-158-01,1963-158-01-01,1963-158-01-01-01,6/22/1964,7.0,378 U.S. 184,1963,1408,Warren,11,JACOBELLIS v. OHIO,3/26/1963,4/1/1964,156.0,,28.0,41.0,2.0,,,0.0,302.0,41.0,300.0,41.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,30190.0,3.0,2.0,0.0,2.0,3.0,2.0,200.0,,92.0,78.0,1,6,3,Yes,Yes,No,"[78, 81, 92, 94, 95, 96]","[90, 88, 91]",,41.49644,-81.697544
1964-034,1964-034-01,1964-034-01-01,1964-034-01-01-01,1/18/1965,1.0,379 U.S. 536,1964,1408,Warren,24,COX v. LOUISIANA,10/21/1964,,223.0,,28.0,22.0,2.0,,,0.0,302.0,22.0,300.0,22.0,0.0,1.0,2.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,30150.0,3.0,2.0,0.0,2.0,,2.0,200.0,,96.0,90.0,1,9,0,Yes,Yes,No,"[90, 81, 92, 94, 96]","[78, 88, 91, 95]",,30.449964,-91.182479
1964-111,1964-111-01,1964-111-01-01,1964-111-01-01-01,5/24/1965,1.0,381 U.S. 301,1964,1408,Warren,491,"LAMONT, DBA BASIC PAMPHLETS v. POSTMASTER GENERAL",4/26/1965,,211.0,,412.0,,2.0,112.0,,1.0,96.0,,96.0,,1.0,1.0,,1.0,2.0,3.0,0.0,1.0,0.0,0.0,30010.0,3.0,2.0,0.0,1.0,,6.0,600.0,39 U.S.C. § 4008,81.0,90.0,1,8,0,Yes,Yes,No,"[90, 78, 81, 88, 45, 92, 94, 96]",,[95],40.713663000000004,-74.00086999999999
1966-044,1966-044-01,1966-044-01-01,1966-044-01-01-01,1/23/1967,1.0,385 U.S. 589,1966,1409,Warren,105,KEYISHIAN et al. v. BOARD OF REGENTS OF THE UNIVERSITY OF THE STATE OF NEW YORK et al.,11/17/1966,,8.0,37.0,26.0,37.0,2.0,,,1.0,97.0,,97.0,,0.0,1.0,,1.0,3.0,4.0,0.0,1.0,1.0,0.0,30110.0,3.0,2.0,0.0,2.0,,2.0,200.0,,92.0,90.0,1,5,4,Yes,Yes,No,"[90, 78, 81, 92, 97]","[88, 91, 94, 95]",,42.887584000000004,-78.87852600000001
1967-106,1967-106-01,1967-106-01-01,1967-106-01-01-01,4/22/1968,1.0,390 U.S. 629,1967,1410,Warren,47,GINSBERG v. NEW YORK,1/16/1968,,117.0,,28.0,37.0,2.0,,,0.0,302.0,37.0,301.0,37.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30190.0,3.0,1.0,0.0,2.0,,2.0,200.0,,92.0,90.0,1,6,3,Yes,No,,,,,42.649638,-73.750235
1967-135,1967-135-01,1967-135-01-01,1967-135-01-01-01,5/27/1968,1.0,391 U.S. 367,1967,1410,Warren,232,UNITED STATES v. O'BRIEN,1/24/1968,,27.0,,142.0,,1.0,,,0.0,80.0,,21.0,,0.0,2.0,3.0,2.0,1.0,8.0,0.0,1.0,0.0,0.0,30150.0,3.0,1.0,0.0,1.0,,3.0,366.0,,90.0,90.0,1,7,1,Yes,No,No,"[90, 45, 92, 94, 95, 98]","[78, 81, 97]",,42.353734,-71.047063
1968-043,1968-043-01,1968-043-01-01,1968-043-01-01-01,2/24/1969,1.0,393 U.S. 503,1968,1410,Warren,21,TINKER et al. v. DES MOINES INDEPENDENT COMMUNITY SCHOOL DISTRICT et al.,11/12/1968,,239.0,,21.0,19.0,1.0,117.0,19.0,0.0,71.0,,28.0,,1.0,12.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,30150.0,3.0,2.0,0.0,2.0,,2.0,200.0,,97.0,90.0,1,7,2,Yes,Yes,No,"[90, 78, 91, 92, 94, 95, 97]",[81],[98],41.587548999999996,-93.615212
1968-078,1968-078-01,1968-078-01-01,1968-078-01-01-01,4/7/1969,1.0,394 U.S. 557,1968,1410,Warren,293,STANLEY v. GEORGIA,1/14/1969,,156.0,,28.0,13.0,2.0,,,0.0,302.0,13.0,300.0,13.0,0.0,1.0,2.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,30190.0,3.0,2.0,0.0,2.0,,2.0,200.0,,98.0,90.0,1,9,0,Yes,Yes,No,"[90, 81, 92, 94, 95, 97, 98]","[78, 81]",,32.8372,-83.62544799999999
1968-121,1968-121-01,1968-121-01-01,1968-121-01-01-01,6/9/1969,1.0,395 U.S. 367,1968,1411,Warren,2,"RED LION BROADCASTING CO., INC., et al. v. FEDERAL COMMUNICATIONS COMMISSION et al.",4/2/1969,,221.0,,338.0,,1.0,38.0,,0.0,32.0,,32.0,,0.0,12.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,2.0,0.0,5.0,1.0,2.0,200.0,,95.0,90.0,1,7,0,Yes,No,No,"[90, 78, 81, 45, 92, 94, 95, 97, 98]",,,38.892894,-77.016234
1968-124,1968-124-01,1968-124-01-01,1968-124-01-01-01,6/9/1969,6.0,395 U.S. 444,1968,1411,Warren,492,BRANDENBURG v. OHIO,2/27/1969,,218.0,,28.0,41.0,2.0,,,0.0,302.0,41.0,300.0,41.0,0.0,1.0,9.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,,90.0,1,8,0,Yes,Yes,No,"[90, 95, 78, 91, 94, 98, 92,]",,[81],41.49644,-81.697544
1970-121,1970-121-01,1970-121-01-01,1970-121-01-01-01,6/7/1971,1.0,403 U.S. 15,1970,1502,Burger,299,COHEN v. CALIFORNIA,2/22/1971,,218.0,,28.0,6.0,2.0,,,0.0,302.0,6.0,301.0,6.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,30150.0,3.0,2.0,0.0,2.0,,2.0,200.0,,91.0,81.0,1,5,4,Yes,Yes,No,"[90, 95, 78, 91, 94, 98, 92, 81]",,,37.781946999999995,-122.418145
1971-158,1971-158-01,1971-158-01-01,1971-158-01-01-01,6/22/1972,1.0,407 U.S. 551,1971,1504,Burger,71-492,"LLOYD CORP., LTD. v. TANNER et al.",4/18/1972,,235.0,,218.0,,1.0,,,0.0,108.0,,29.0,,0.0,11.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,30010.0,3.0,1.0,0.0,2.0,,2.0,200.0,,101.0,99.0,1,5,4,Yes,Yes,No,"[81, 91, 92, 94, 98]","[99, 95, 78, 100]",,45.516039,-122.676302
