caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,landmark,protected,multipledec,majority,dissent,novote,lat,long
1972-158,1972-158-01,1972-158-01-01,1972-158-01-01-01,6/21/1973,1.0,413 U.S. 15,1972,1504,Burger,70-73,MILLER v. CALIFORNIA,1/18/1972,11/7/1972,101.0,,28.0,6.0,2.0,,,0.0,302.0,6.0,302.0,6.0,0.0,1.0,2.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,30190.0,3.0,1.0,1.0,2.0,,2.0,200.0,,99.0,99.0,1,5,4,Yes,Yes,No,"[99, 95, 100, 101, 102]","[81, 92, 94, 98]",,37.781946999999995,-122.418145
1972-159,1972-159-01,1972-159-01-01,1972-159-01-01-01,6/21/1973,1.0,413 U.S. 49,1972,1504,Burger,71-1051,"PARIS ADULT THEATRE I et al. v. SLATON, DISTRICT ATTORNEY, et al.",10/19/1972,,156.0,,28.0,13.0,1.0,,,0.0,302.0,13.0,300.0,13.0,0.0,12.0,3.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,30190.0,3.0,1.0,1.0,2.0,,2.0,200.0,,99.0,99.0,1,5,4,Yes,Yes,No,"[99, 95, 100, 101, 102]","[81, 92, 94, 98]",,32.8372,-83.62544799999999
1973-162,1973-162-01,1973-162-01-01,1973-162-01-01-01,6/25/1974,1.0,418 U.S. 323,1973,1504,Burger,72-617,"GERTZ v. ROBERT WELCH, INC.",11/14/1973,,111.0,,178.0,,1.0,,,0.0,66.0,,27.0,,0.0,11.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,30030.0,3.0,1.0,0.0,2.0,,2.0,200.0,,101.0,99.0,1,7,2,Yes,Yes,No,"[99, 95, 100, 101, 102]","[81, 92, 94, 98]",,41.878703,-87.62893199999999
1975-033,1975-033-01,1975-033-01-01,1975-033-01-01-01,1/30/1976,6.0,424 U.S. 1,1975,1506,Burger,75-436,"BUCKLEY et al. v. VALEO, SECRETARY OF THE UNITED STATES SENATE, et al.",11/10/1975,,23.0,,343.0,,2.0,,,1.0,55.0,,32.0,,0.0,1.0,2.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,30140.0,3.0,2.0,0.0,1.0,,1.0,135.0,,,92.0,1,7,1,Yes,No,Yes,,,,38.892894,-77.016234
1975-146,1975-146-01,1975-146-01-01,1975-146-01-01-01,6/24/1976,1.0,427 U.S. 50,1975,1506,Burger,75-312,"YOUNG, MAYOR OF DETROIT, et al. v. AMERICAN MINI THEATRES, INC., et al.",3/24/1976,,3.0,27.0,242.0,,1.0,,,0.0,81.0,,26.0,,1.0,10.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,30190.0,3.0,1.0,0.0,2.0,,2.0,200.0,,103.0,99.0,1,5,4,Yes,No,Yes,,,,42.330363,-83.04977199999999
1976-088,1976-088-01,1976-088-01-01,1976-088-01-01-01,4/20/1977,1.0,430 U.S. 705,1976,1506,Burger,75-1453,"WOOLEY, CHIEF OF POLICE OF LEBANON, et al. v. MAYNARD ET UX.",11/29/1976,,28.0,34.0,130.0,,2.0,,,1.0,91.0,,91.0,,0.0,1.0,,2.0,3.0,2.0,0.0,0.0,0.0,0.0,30160.0,3.0,2.0,0.0,2.0,,2.0,202.0,,99.0,99.0,1,6,3,Yes,Yes,No,"[99, 95, 101, 102, 103]","[92, 94, 98, 100]",,43.201826000000004,-71.539846
1977-073,1977-073-01,1977-073-01-01,1977-073-01-01-01,4/26/1978,1.0,435 U.S. 765,1977,1506,Burger,76-1172,"FIRST NATIONAL BANK OF BOSTON et al. v. BELLOTTI, ATTORNEY GENERAL OF MASSACHUSETTS",11/9/1977,,113.0,,28.0,26.0,2.0,,,0.0,300.0,26.0,300.0,26.0,0.0,1.0,,1.0,3.0,3.0,0.0,1.0,0.0,0.0,30140.0,3.0,1.0,0.0,2.0,,2.0,200.0,,101.0,99.0,1,5,4,Yes,Yes,No,"[99, 92, 94, 98, 101, 103]","[95, 100, 102]",,42.359215,-71.061128
1979-154,1979-154-01,1979-154-01-01,1979-154-01-01-01,7/2/1980,7.0,448 U.S. 555,1979,1506,Burger,79-243,"RICHMOND NEWSPAPERS, INC., et al. v. VIRGINIA et al.",2/19/1980,,190.0,,28.0,55.0,1.0,,,0.0,302.0,55.0,300.0,55.0,0.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,99.0,99.0,1,7,1,Yes,Yes,No,"[99, 94, 100, 101, 103]","[92, 95, 98, 102]",,37.268627,-79.944337
1981-175,1981-175-01,1981-175-01-01,1981-175-01-01-01,7/2/1982,1.0,458 U.S. 886,1981,1507,Burger,81-202,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE et al. v. CLAIBORNE HARDWARE CO. et al.,3/3/1982,,222.0,,238.0,,1.0,,,0.0,302.0,29.0,300.0,29.0,0.0,12.0,6.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,30150.0,3.0,2.0,0.0,2.0,,2.0,200.0,,103.0,99.0,1,8,0,Yes,Yes,No,"[99, 92, 94, 95, 98, 100, 103]",[102],[101],34.367206,-89.521461
1983-155,1983-155-01,1983-155-01-01,1983-155-01-01-01,7/2/1984,1.0,468 U.S. 364,1983,1507,Burger,82-912,FEDERAL COMMUNICATIONS COMMISSION v. LEAGUE OF WOMEN VOTERS OF CALIFORNIA et al.,1/16/1984,,338.0,,211.0,,2.0,,,0.0,48.0,,48.0,,0.0,1.0,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,2.0,0.0,1.0,,6.0,600.0,47 U.S.C. § 399,92.0,92.0,1,5,4,Yes,Yes,No,"[103, 99, 92, 95, 100, 101, 102, 103, 104]",,[98],34.053532000000004,-118.246629
1983-162,1983-162-01,1983-162-01-01,1983-162-01-01-01,7/3/1984,1.0,468 U.S. 609,1983,1507,Burger,83-724,"ROBERTS, ACTING COMMISSIONER, MINNESOTA DEPARTMENT OF HUMAN RIGHTS, et al. v. UNITED STATES JAYCEES",4/18/1984,,19.0,28.0,131.0,,2.0,117.0,28.0,0.0,83.0,,28.0,,1.0,1.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,30010.0,3.0,1.0,0.0,2.0,,2.0,201.0,,92.0,92.0,1,7,0,Yes,No,,,,,44.978226,-93.26476600000001
1984-052,1984-052-01,1984-052-01-01,1984-052-01-01-01,3/19/1985,1.0,470 U.S. 598,1984,1507,Burger,83-1292,WAYTE v. UNITED STATES,11/6/1984,,142.0,,27.0,,1.0,107.0,,0.0,48.0,,29.0,,1.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30130.0,3.0,1.0,0.0,1.0,,2.0,200.0,,101.0,99.0,1,7,2,Yes,No,No,"[92, 98, 100, 101, 104]","[99, 95, 102, 103]",,34.053532000000004,-118.246629
1986-151,1986-151-01,1986-151-01-01,1986-151-01-01-01,6/24/1987,1.0,483 U.S. 378,1986,1601,Rehnquist,85-2068,RANKIN et al. v. MCPHERSON,3/23/1987,,19.0,51.0,11.0,51.0,1.0,,,0.0,121.0,,25.0,,0.0,12.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,98.0,92.0,1,5,4,Yes,Yes,Yes,"[92, 95, 98, 101, 102, 103, 104]",,"[99, 100]",29.761108,-95.36739200000001
1987-019,1987-019-01,1987-019-01-01,1987-019-01-01-01,1/13/1988,1.0,484 U.S. 260,1987,1602,Rehnquist,86-836,HAZELWOOD SCHOOL DISTRICT et al. v. KUHLMEIER et al.,10/13/1987,,21.0,30.0,239.0,,1.0,,,0.0,86.0,,28.0,,1.0,12.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,30010.0,3.0,1.0,0.0,2.0,,2.0,200.0,,95.0,102.0,1,5,3,Yes,No,No,"[99, 95, 100, 101, 102, 103, 104]","[92, 98]",,38.625492,-90.19710500000001
1987-035,1987-035-01,1987-035-01-01,1987-035-01-01-01,2/24/1988,1.0,485 U.S. 46,1987,1603,Rehnquist,86-1278,HUSTLER MAGAZINE AND LARRY C. FLYNT v. JERRY FALWELL,12/2/1987,,178.0,,130.0,,1.0,,,0.0,127.0,,24.0,,1.0,10.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,30030.0,3.0,2.0,0.0,1.0,,2.0,200.0,,102.0,102.0,1,8,0,Yes,Yes,No,"[92, 98, 100, 101, 103]","[102, 95, 104, 105]",,37.268627,-79.944337
1988-124,1988-124-01,1988-124-01-01,1988-124-01-01-01,6/21/1989,1.0,491 U.S. 397,1988,1603,Rehnquist,88-155,TEXAS v. JOHNSON,3/21/1989,,28.0,51.0,218.0,,1.0,,,0.0,302.0,51.0,300.0,51.0,0.0,12.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,30150.0,3.0,2.0,0.0,2.0,,2.0,200.0,,92.0,92.0,1,5,4,Yes,Yes,No,"[102, 95, 103, 104, 105]","[92, 98, 100]",,29.761108,-95.36739200000001
1989-103,1989-103-01,1989-103-01-01,1989-103-01-01-01,6/11/1990,1.0,496 U.S. 310,1989,1603,Rehnquist,89-1433,"UNITED STATES v. SHAWN D. EICHMAN, DAVID GERALD BLALOCK AND SCOTT W. TYLER",5/14/1990,,27.0,,218.0,,2.0,,,0.0,55.0,,55.0,,0.0,1.0,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,30150.0,3.0,2.0,0.0,1.0,,6.0,600.0,18 U.S.C. § 700,92.0,92.0,1,5,4,Yes,Yes,No,"[102, 92, 98, 100, 103, 104, 105, 95]",,[106],38.892894,-77.016234
1990-115,1990-115-01,1990-115-01-01,1990-115-01-01-01,6/20/1991,1.0,501 U.S. 496,1990,1604,Rehnquist,89-1799,"JEFFREY M. MASSON v. NEW YORKER MAGAZINE, INC., ALFRED A. KNOPF, INC. AND JANET MALCOLM",1/14/1991,,206.0,,178.0,,1.0,,,0.0,50.0,,29.0,,1.0,12.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,30030.0,3.0,2.0,1.0,1.0,,2.0,200.0,,106.0,102.0,1,7,2,Yes,Yes,No,"[92, 98, 100, 105, 106]","[102, 95, 103, 104]",,37.781946999999995,-122.418145
1990-117,1990-117-01,1990-117-01-01,1990-117-01-01-01,6/21/1991,7.0,501 U.S. 560,1990,1604,Rehnquist,90-26,"MICHAEL BARNES, PROSECUTING ATTORNEY OF ST. JOSEPH COUNTY, INDIANA, et al. v. GLEN THEATRE, INC., et al.",1/8/1991,,28.0,18.0,109.0,,1.0,,,0.0,68.0,,27.0,,1.0,12.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,30190.0,3.0,1.0,0.0,2.0,,2.0,200.0,,102.0,102.0,1,5,4,Yes,No,No,"[92, 98, 100, 105, 106]","[102, 95, 103, 104]",,41.615237,-87.521192
1991-105,1991-105-01,1991-105-01-01,1991-105-01-01-01,6/22/1992,1.0,505 U.S. 377,1991,1605,Rehnquist,90-7675,"RAV v. CITY OF ST. PAUL, MINNESOTA",12/4/1991,,175.0,,3.0,28.0,1.0,,,0.0,302.0,28.0,300.0,28.0,0.0,12.0,4.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,30150.0,3.0,2.0,0.0,2.0,,2.0,200.0,,105.0,102.0,1,9,0,Yes,Yes,No,"[102, 98, 100, 103, 104, 106, 107]","[95, 105]",,44.978226,-93.26476600000001
1992-086,1992-086-01,1992-086-01-01,1992-086-01-01-01,6/7/1993,1.0,508 U.S. 384,1992,1605,Rehnquist,91-2024,LAMB'S CHAPEL AND JOHN STEIGERWALD v. CENTER MORICHES UNION FREE SCHOOL DISTRICT et al.,2/24/1993,,130.0,,21.0,37.0,1.0,,,0.0,94.0,,22.0,,0.0,13.0,2.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,30160.0,3.0,2.0,0.0,2.0,,2.0,200.0,,95.0,102.0,1,9,0,Yes,Yes,No,"[102, 104, 106, 105, 107]","[95, 98, 100, 103]",,40.696771999999996,-73.989343
1996-094,1996-094-01,1996-094-01-01,1996-094-01-01-01,6/26/1997,1.0,521 U.S. 844,1996,1607,Rehnquist,96-511,"JANET RENO, ATTORNEY GENERAL OF THE UNITED STATES, et al. v. AMERICAN CIVIL LIBERTIES UNION et al.",3/19/1997,,1.0,,207.0,,2.0,,,1.0,109.0,,109.0,,0.0,1.0,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,30200.0,3.0,2.0,0.0,1.0,,2.0,200.0,,103.0,102.0,1,9,0,Yes,Yes,No,"[105, 102, 95, 100, 103, 104, 106, 107, 108]",,,39.951529,-75.15111800000001
1997-097,1997-097-01,1997-097-01-01,1997-097-01-01-01,6/25/1998,1.0,524 U.S. 569,1997,1607,Rehnquist,97-371,"NATIONAL ENDOWMENT FOR THE ARTS, et al. v. KAREN FINLEY, et al.",3/31/1998,,379.0,,156.0,,1.0,79.0,,0.0,48.0,,29.0,,1.0,12.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,30010.0,3.0,1.0,0.0,1.0,,2.0,200.0,,104.0,102.0,1,8,1,Yes,No,No,"[102, 95, 100, 103, 104, 105, 106, 107, 108]",,,34.053532000000004,-118.246629
1999-041,1999-041-01,1999-041-01-01,1999-041-01-01-01,3/22/2000,1.0,529 U.S. 217,1999,1607,Rehnquist,98-1189,"BOARD OF REGENTS OF THE UNIVERSITY OF WISCONSIN SYSTEM v. SCOTT HAROLD SOUTHWORTH, et al.",11/9/1999,,26.0,58.0,239.0,,1.0,,,0.0,133.0,,27.0,,1.0,3.0,7.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,30010.0,3.0,1.0,0.0,2.0,,2.0,200.0,,106.0,102.0,1,9,0,Yes,No,No,"[102, 103, 104, 105, 106, 107, 108, 109, 110]",,,43.07378,-89.389131
1999-063,1999-063-01,1999-063-01-01,1999-063-01-01-01,5/22/2000,1.0,529 U.S. 803,1999,1607,Rehnquist,98-1682,"UNITED STATES, et al. v. PLAYBOY ENTERTAINMENT GROUP, INC.",11/30/1999,,27.0,,124.0,,2.0,,,1.0,54.0,,54.0,,0.0,1.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,30010.0,3.0,2.0,0.0,1.0,,6.0,600.0,47 U.S.C. § 561,106.0,103.0,1,5,4,Yes,Yes,No,"[102, 103, 104, 106, 109, 110, 105, 108]",[107],,39.743829,-75.547273
2000-071,2000-071-01,2000-071-01-01,2000-071-01-01-01,6/11/2001,1.0,533 U.S. 98,2000,1607,Rehnquist,99-2036,"GOOD NEWS CLUB, et al. v. MILFORD CENTRAL SCHOOL",2/28/2001,,130.0,,21.0,37.0,1.0,,,0.0,95.0,,22.0,,1.0,2.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,30170.0,3.0,1.0,0.0,2.0,,2.0,200.0,,108.0,102.0,1,6,3,Yes,Yes,No,"[102, 103, 104, 105, 106, 107, 108, 109, 110]",,,42.649638,-73.750235
2001-082,2001-082-01,2001-082-01-01,2001-082-01-01-01,6/27/2002,1.0,536 U.S. 765,2001,1607,Rehnquist,01-521,"REPUBLICAN PARTY OF MINNESOTA, et al. v. SUZANNE WHITE, CHAIRPERSON, MINNESOTA BOARD OF JUDICIAL STANDARDS, et al.",3/26/2002,,211.0,,4.0,28.0,1.0,117.0,28.0,0.0,83.0,,28.0,,1.0,12.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,105.0,102.0,1,5,4,Yes,Yes,No,"[103, 106, 107, 108, 109]","[102, 104, 105, 110]",,44.978226,-93.26476600000001
2002-039,2002-039-01,2002-039-01-01,2002-039-01-01-01,4/7/2003,1.0,538 U.S. 343,2002,1607,Rehnquist,01-1107,"VIRGINIA v. BARRY ELTON BLACK, RICHARD J. ELLIOTT, AND JONATHAN O'MARA",12/11/2002,,28.0,55.0,218.0,,1.0,,,0.0,302.0,55.0,300.0,55.0,1.0,12.0,7.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,30150.0,3.0,2.0,0.0,2.0,,2.0,200.0,,104.0,102.0,1,7,2,Yes,No,No,"[108, 102, 104, 105, 106, 110]","[103, 107, 109]",,37.268627,-79.944337
2003-006,2003-006-01,2003-006-01-01,2003-006-01-01-01,12/10/2003,1.0,540 U.S. 93,2003,1607,Rehnquist,02-1674,"MITCH MCCONNELL, UNITED STATES SENATOR, et al. v. FEDERAL ELECTION COMMISSION, et al.",9/8/2003,,23.0,,343.0,,2.0,,,1.0,55.0,,55.0,,0.0,1.0,,3.0,2.0,6.0,0.0,1.0,0.0,0.0,30140.0,3.0,2.0,0.0,1.0,,2.0,200.0,,103.0,103.0,1,5,4,Yes,No,No,"[105, 102, 104, 106, 108]","[103, 107, 109, 110]",,38.892894,-77.016234
2005-058,2005-058-01,2005-058-01-01,2005-058-01-01-01,5/30/2006,1.0,547 U.S. 410,2005,1702,Roberts,04-473,"GIL GARCETTI, et al. v. RICHARD CEBALLOS",10/12/2005,3/21/2006,5.0,6.0,8.0,6.0,1.0,,,0.0,48.0,,29.0,,1.0,12.0,4.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,30010.0,3.0,1.0,0.0,2.0,,2.0,200.0,,106.0,111.0,1,5,4,Yes,No,No,"[102, 103, 104, 106, 107, 109, 110]","[105, 108]",,34.053532000000004,-118.246629
2006-068,2006-068-01,2006-068-01-01,2006-068-01-01-01,6/25/2007,1.0,551 U.S. 393,2006,1702,Roberts,06-278,"DEBORAH MORSE, et al. v. JOSEPH FREDERICK",3/19/2007,,8.0,2.0,239.0,,1.0,,,0.0,44.0,,29.0,,0.0,11.0,3.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,30150.0,3.0,1.0,0.0,2.0,,2.0,200.0,,111.0,111.0,1,5,4,Yes,Yes,Yes,,,,61.215118999999994,-149.88503799999998
2009-012,2009-012-01,2009-012-01-01,2009-012-01-01-01,1/21/2010,1.0,558 U.S. 310,2009,1703,Roberts,08-205,CITIZENS UNITED v. FEDERAL ELECTION COMMISSION,3/24/2009,9/9/2009,211.0,,343.0,,2.0,43.0,,1.0,55.0,,55.0,,0.0,1.0,1.0,2.0,2.0,7.0,0.0,1.0,1.0,0.0,30140.0,3.0,1.0,0.0,1.0,,2.0,200.0,,106.0,111.0,1,5,4,Yes,Yes,No,"[111, 105, 106, 108, 112]","[103, 107, 109, 110]",,38.892894,-77.016234
